Security Code,Security Name,Company Name,Ex Date,Purpose,Record Date,BC Start Date," BC End Date	",ND Start Date,ND End Date,Actual Payment Date
520139,JAGSONAI,JAGSON AIRLINES LTD.,06-Nov-00,NIL Dividend - Rs. - 0.0000,-,16-Nov-00,27-Nov-00,06-Nov-00,14-Nov-00,-
500459,PGHH,PROCTER & GAMBLE HYGIENE & HEALTH CARE LTD.,06-Nov-00,Interim Dividend - Rs. - 2.5000,20-Nov-00,-,-,06-Nov-00,17-Nov-00,-
507450,THIRUSUGAR,THIRU AROORAN SUGARS LTD.,06-Nov-00,NIL Dividend - Rs. - 0.0000,-,21-Nov-00,01-Dec-00,06-Nov-00,17-Nov-00,-
501425,BBTC,BOMBAY BURMAH TRADING CORP.LTD.,08-Nov-00,Dividend - Rs. - 1.0000,-,23-Nov-00,14-Dec-00,08-Nov-00,21-Nov-00,-
500550,SIEMENS,SIEMENS LTD.,13-Nov-00,Dividend - Rs. - 6.5000,-,28-Nov-00,15-Dec-00,13-Nov-00,24-Nov-00,-
522122,VOITHPAPR,VOITH PAPER FABRICS INDIA LTD.-$,13-Nov-00,Dividend - Rs. - 3.3000,-,28-Nov-00,08-Dec-00,13-Nov-00,24-Nov-00,-
523367,DCMSHRIRAM,DCM Shriram Limited,15-Nov-00,Interim Dividend - Rs. - 1.5000,30-Nov-00,-,-,15-Nov-00,28-Nov-00,-
524494,IPCALAB,IPCA LABORATORIES LTD.,15-Nov-00,Interim Dividend - Rs. - 3.5000,30-Nov-00,-,-,15-Nov-00,28-Nov-00,-
500102,BALLARPUR,BALLARPUR INDUSTRIES LTD.,16-Nov-00,Dividend - Rs. - 2.5000,-,01-Dec-00,13-Dec-00,16-Nov-00,29-Nov-00,-
523574,FEL,Future Enterprises Ltd,16-Nov-00,Dividend - Rs. - 1.0000,-,01-Dec-00,12-Dec-00,16-Nov-00,29-Nov-00,-
500213,ITHL,INTERNATIONAL TRAVEL HOUSE LTD.-$,16-Nov-00,Interim Dividend - Rs. - 2.0000,01-Dec-00,-,-,16-Nov-00,29-Nov-00,-
500290,MRF,MRF LTD.,16-Nov-00,Interim Dividend - Rs. - 3.0000,01-Dec-00,-,-,16-Nov-00,29-Nov-00,-
507315,SAKHTISUG,SAKTHI SUGARS LTD.,16-Nov-00,NIL Dividend - Rs. - 0.0000,-,01-Dec-00,07-Dec-00,16-Nov-00,29-Nov-00,-
505890,KENNAMET,KENNAMETAL INDIA LTD.-$,21-Nov-00,Interim Dividend - Rs. - 1.0000,06-Dec-00,-,-,21-Nov-00,04-Dec-00,-
532221,SONATSOFTW,SONATA SOFTWARE LTD.,27-Nov-00,Interim Dividend - Rs. - 0.2000,11-Dec-00,-,-,27-Nov-00,08-Dec-00,-
507833,COMPUPN,COMPUTER POINT LTD.,29-Nov-00,NIL Dividend - Rs. - 0.0000,-,14-Dec-00,21-Dec-00,29-Nov-00,12-Dec-00,-
504000,ELPROINTL,ELPRO INTERNATIONAL LTD.,29-Nov-00,NIL Dividend - Rs. - 0.0000,-,14-Dec-00,18-Dec-00,29-Nov-00,12-Dec-00,-
526666,BIL,BHARTIYA INTERNATIONAL LTD.,30-Nov-00,Interim Dividend - Rs. - 1.5000,15-Dec-00,-,-,30-Nov-00,13-Dec-00,-
526707,ALCHEM,ALCHEMIST LTD.,04-Dec-00,NIL Dividend - Rs. - 0.0000,-,19-Dec-00,27-Dec-00,04-Dec-00,15-Dec-00,-
514221,KLIFESTYL,K-Lifestyle & Industries Limited,04-Dec-00,NIL Dividend - Rs. - 0.0000,-,19-Dec-00,23-Dec-00,04-Dec-00,15-Dec-00,-
514030,DEEPAKSP,DEEPAK SPINNERS LTD.-$,05-Dec-00,NIL Dividend - Rs. - 0.0000,-,20-Dec-00,23-Dec-00,05-Dec-00,15-Dec-00,-
